"date","city","property_type","benchmark_price","source","created_at"
"2005-07-01","Ottawa","House","227400","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-07-01","Ottawa","Town House","166100","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-07-01","Toronto","All","327900","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-07-01","Toronto","Apartment","205800","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-07-01","Toronto","House","376100","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-07-01","Toronto","Town House","217600","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-07-01","Vancouver","All","374500","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-07-01","Vancouver","Apartment","236000","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-07-01","Vancouver","House","562200","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-07-01","Vancouver","Town House","303900","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-07-01","Victoria","All","333400","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-07-01","Victoria","Apartment","194900","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-07-01","Victoria","House","411600","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-07-01","Victoria","Town House","292900","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-07-01","Winnipeg","All","127700","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-07-01","Winnipeg","Apartment","109000","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-07-01","Winnipeg","House","129500","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-07-01","Winnipeg","Town House","117600","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-08-01","Calgary","All","226400","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-08-01","Calgary","Apartment","141500","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-08-01","Calgary","House","249600","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-08-01","Calgary","Town House","169500","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-08-01","Edmonton","All","177600","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-08-01","Edmonton","Apartment","110300","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-08-01","Edmonton","House","204300","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-08-01","Edmonton","Town House","119100","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-08-01","Ottawa","All","223700","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-08-01","Ottawa","Apartment","215200","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-08-01","Ottawa","House","228000","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-08-01","Ottawa","Town House","167200","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-08-01","Toronto","All","330000","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-08-01","Toronto","Apartment","206000","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-08-01","Toronto","House","378800","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-08-01","Toronto","Town House","218200","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-08-01","Vancouver","All","378700","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-08-01","Vancouver","Apartment","238000","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-08-01","Vancouver","House","569000","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-08-01","Vancouver","Town House","307900","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-08-01","Victoria","All","338400","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-08-01","Victoria","Apartment","198300","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-08-01","Victoria","House","417800","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
