"date","city","metric","value","source","created_at"
"2009-09-01","Canada","unemployment_rate","8.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-10-01","Canada","mortgage_rate","5.84","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-10-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-10-01","Canada","unemployment_rate","8.6","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-11-01","Canada","mortgage_rate","5.59","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-11-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-11-01","Canada","unemployment_rate","8.6","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2009-12-01","Canada","mortgage_rate","5.49","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2009-12-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2009-12-01","Canada","unemployment_rate","8.6","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-01-01","Canada","mortgage_rate","5.49","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-01-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-01-01","Canada","unemployment_rate","8.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-02-01","Canada","mortgage_rate","5.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-02-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-02-01","Canada","unemployment_rate","8.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-03-01","Canada","mortgage_rate","5.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-03-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-03-01","Canada","unemployment_rate","8.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-04-01","Canada","mortgage_rate","6.25","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-04-01","Canada","overnight_rate","0.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-04-01","Canada","unemployment_rate","8.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-05-01","Canada","mortgage_rate","5.99","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-05-01","Canada","overnight_rate","0.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-05-01","Canada","unemployment_rate","8.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-06-01","Canada","mortgage_rate","5.89","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-06-01","Canada","overnight_rate","0.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-06-01","Canada","unemployment_rate","8.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-07-01","Canada","mortgage_rate","5.79","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-07-01","Canada","overnight_rate","0.75","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-07-01","Canada","unemployment_rate","8.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-08-01","Canada","mortgage_rate","5.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-08-01","Canada","overnight_rate","0.75","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-08-01","Canada","unemployment_rate","8.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-09-01","Canada","mortgage_rate","5.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-09-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-09-01","Canada","unemployment_rate","8.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-10-01","Canada","mortgage_rate","5.29","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-10-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-10-01","Canada","unemployment_rate","8.1","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-11-01","Canada","mortgage_rate","5.44","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2010-11-01","Canada","overnight_rate","1.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2010-11-01","Canada","unemployment_rate","7.9","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2010-12-01","Canada","mortgage_rate","5.19","BoC_V80691335","2025-10-23 07:55:58.452358+00"
